name,motor width (mm),motor height (mm),Kv (rms/V),propeller diameter (in),propeller pitch (in),battery (V),min PWM throttle (µs),max PWM throttle (µs),PWM throttle (%),Time (s),PWM throttle signal (µs),Rotation speed (rpm),Thrust (kgf),Torque (N⋅m),Voltage (V),Current (A),Electrical power (W),Mechanical power (W),Motor & ESC efficiency (%),Propeller efficiency (gf/W),Propulsion system efficiency (gf/W)
DYS Samguk Wei 2207 2600kv with Gemfan 6030R,22,7,2600,6,3,11.1,1000,1550,67.2727272727273,86.6148435,1370,15191.0000000005,0.312237241339132,0.02807773480591,11.201668071747,6.1631281614304,69.0373159479797,44.6659987588652,64.6983419699015,6.99049053005133,4.52273146850619
DYS Samguk Wei 2207 2600kv with Gemfan 6030R,22,7,2600,6,3,11.1,1000,1550,70.5454545454546,79.91508205,1388,15621.9999999998,0.33153820071789,0.029908580058981,11.191988658905,6.6524136209488,74.4537378000041,48.9284036261042,65.7165174937685,6.77598646486412,4.45294233055781
DYS Samguk Wei 2207 2600kv with Gemfan 6030R,22,7,2600,6,3,11.1,1000,1550,73.8181818181818,73.21432965,1406,16150,0.359401083212075,0.032416593571954,11.179611139297,7.3309934806824,81.9576563787506,54.8237225117971,66.8927406347985,6.55557606718038,4.3852044957359
DYS Samguk Wei 2207 2600kv with Gemfan 6030R,22,7,2600,6,3,11.1,1000,1550,77.0909090909091,66.51520655,1424,16567.9999999998,0.3772982988896,0.033786411745415,11.172176265717,7.7716156578064,86.8258599984193,58.6193197357808,67.5136644046462,6.43641551267099,4.34545996891329
DYS Samguk Wei 2207 2600kv with Gemfan 6030R,22,7,2600,6,3,11.1,1000,1550,80.3636363636364,59.7886644,1442,16952.0000000003,0.400049475880826,0.035541363152193,11.16288819313,8.3193598461151,92.8680838005981,63.0933580039783,67.9386883220821,6.34059572254184,4.30771756570097
DYS Samguk Wei 2207 2600kv with Gemfan 6030R,22,7,2600,6,3,11.1,1000,1550,83.6363636363636,53.0872236,1460,17396,0.423420582211581,0.037877971731625,11.152723388672,8.8951230716705,99.2048471265355,69.0024851927772,69.5555582125586,6.13630916377346,4.26814409251101
DYS Samguk Wei 2207 2600kv with Gemfan 6030R,22,7,2600,6,3,11.1,1000,1550,86.9090909090909,46.3873092,1478,17706.9999999999,0.444417349239455,0.038910790705983,11.143108234406,9.4337240791321,105.121008467291,72.151217093418,68.6363441003976,6.15952671545436,4.22767395137517
DYS Samguk Wei 2207 2600kv with Gemfan 6030R,22,7,2600,6,3,11.1,1000,1550,90.1818181818182,39.68700505,1496,18108.9999999998,0.461275280077091,0.04101436060041,11.135084037781,9.9172584152222,110.42950587789,77.7784048763903,70.4326296292547,5.9306343555152,4.17710173028535
DYS Samguk Wei 2207 2600kv with Gemfan 6030R,22,7,2600,6,3,11.1,1000,1550,93.4545454545455,32.9867183,1514,18444.9999999998,0.476159736173066,0.042510812354535,11.12726811409,10.367053117752,115.356979594239,82.1120097022524,71.1807902660733,5.79890490927791,4.12770634120213
DYS Samguk Wei 2207 2600kv with Gemfan 6030R,22,7,2600,6,3,11.1,1000,1550,96.7272727272727,26.28662355,1532,18800,0.495903793111521,0.044461852069485,11.116199798584,10.914054088593,121.322805861352,87.5334441046004,72.1492084551964,5.66530653722397,4.08747382316759
