,Capacity (mah),Nominal voltage (V),Cells configuration,Discharge (C),Battery height (mm),Bettry length (mm),Battery width (mm),Battery weight (g),Battery price (€),Motor name,Shaft diameter (mm),Motor diameter (mm),Motor height (mm),Magnetic poles,KV (rpm/V),Motor weight (g),No load current @10V (A),Resistance (Ohm),Motor price (€),Propeller Name,Propeller diameter (in),Propeller pitch (in),Propeller weight (g),Propeller material,Propeller price (€),Total weight (g),Total price (€),Peak rotational speed (rpm),Peak torque (Nm),Peak current (A),Peak thrust (kgf),Total thrust (kgf),Hovering rotational speed (rpm),Hovering torque (Nm),Hovering current (A),Hovering PWM,Hovering time (m)
243,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-14,3.175,28.0,22.0,,1450,38.0,,0.112,,Gemfan Hurricane 51499,5.1,4.99,5.2,Poly Carbonate,,192.8,,10096.837432119582,0.02567630859323423,3.898784284977568,0.19219445409587615,0.7687778163835046,5555.01095848007,0.008500740634705496,1.290783442509256,0.5372445656610974,3.4862548215307863
245,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-14,3.175,28.0,22.0,,1450,38.0,,0.112,,DALPROP 6040,6.0,4.0,4.32,Nylon,,189.28,,10104.562949003104,0.025363019794565973,3.8512133682074867,0.2140153307122688,0.8560613228490752,5250.18394165464,0.007553815694533659,1.1469989081907164,0.5066595120544999,3.923281851330033
247,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-14,3.175,28.0,22.0,,1450,38.0,,0.112,,Gemfan 5050 3-Blades BN,5.0,5.0,5.0,Poly Carbonate,,192.0,,10131.659127808745,0.024264202682984803,3.6843649765471427,0.1834866564416854,0.7339466257667416,,,,,
248,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-14,3.175,28.0,22.0,,1450,38.0,,0.112,,KingKong 6040,6.0,4.0,3.38,Plastic,,185.52,,10104.562949003104,0.025363019794565973,3.8512133682074867,0.2140153307122688,0.8560613228490752,5250.18394165464,0.007553815694533659,1.1469989081907164,0.5066595120544999,3.923281851330033
249,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-14,3.175,28.0,22.0,,1450,38.0,,0.112,,Quanum Carbon Fiber Propeller 6045 Self-Locking,6.0,4.5,6.78,Carbon Fiber,,199.12,,9911.254112671628,0.03320217136671302,5.041538715076181,0.24918261881658885,0.9967304752663554,,,,,
250,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-14,3.175,28.0,22.0,,1450,38.0,,0.112,,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,,186.8,,10284.4369600357,0.018068683608638555,2.7436147781052953,0.1568051788247284,0.6272207152989135,,,,,
254,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-17,3.175,28.0,22.0,,1100,38.0,,0.192,,6045 plastic,6.0,4.5,6.0,Plastic,,196.0,,7640.824574256687,0.020518139586014818,2.363520008254313,0.1527916381438531,0.6111665525754124,,,,,
261,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2822-17,3.175,28.0,22.0,,1100,38.0,,0.192,,Quanum Carbon Fiber Propeller 6045 Self-Locking,6.0,4.5,6.78,Carbon Fiber,,199.12,,7640.824574256687,0.020518139586014818,2.363520008254313,0.1527916381438531,0.6111665525754124,,,,,
264,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,1.5,116.88,,10846.495168661319,0.013725799035870612,2.299779702172854,0.1543099979594051,0.6172399918376203,,,,,
266,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,20.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,,6045 plastic,6.0,4.5,6.0,Plastic,,132.0,,9582.250277615287,0.031192016369955004,5.226272505520171,0.23385942401195647,0.9354376960478259,,,,,
