,Capacity (mah),Nominal voltage (V),Cells configuration,Discharge (C),Battery height (mm),Bettry length (mm),Battery width (mm),Battery weight (g),Motor name,Shaft diameter (mm),Motor diameter (mm),Motor height (mm),Magnetic poles,KV (rpm/V),Motor weight (g),No load current (A),Resistance (Ohm),Propeller Name,Propeller diameter (in),Propeller pitch (in),Propeller weight (g),Propeller material,Total weight (g),Peak rotational speed (rpm),Peak torque (Nm),Peak current (A),Peak thrust (kgf),Total thrust (kgf)
248,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-8,3.175,28.0,22.0,,2600,38.0,,0.044,KingKong 6040,6.0,4.0,3.38,Plastic,185.52,17140.10945845431,0.0674168826599555,18.355686551972845,0.5779595872220421,2.3118383488881684
249,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-8,3.175,28.0,22.0,,2600,38.0,,0.044,Quanum Carbon Fiber Propeller 6045 Self-Locking,6.0,4.5,6.78,Carbon Fiber,199.12,16565.299125423455,0.08587114015890694,23.380252400144645,0.6544713023108774,2.6178852092435094
250,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-8,3.175,28.0,22.0,,2600,38.0,,0.044,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,186.8,17702.898206643335,0.04934857755139799,13.436204487383435,0.435295766327862,1.741183065311448
251,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-8,3.175,28.0,22.0,,2600,38.0,,0.044,Gemfan 3052 - Flash,3.0,5.2,1.6,Poly Carbonate,178.4,18787.7525544736,0.014521621101071176,3.953211936419521,0.1469708075635572,0.5878832302542288
252,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-12,3.175,28.0,22.0,,1800,38.0,,0.091,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,180.88,12748.561173252978,0.018507810521896102,3.4886375259280706,0.2090821446959734,0.8363285787838936
253,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-12,3.175,28.0,22.0,,1800,38.0,,0.091,Gemfan 5040 R,5.0,4.0,3.0,ABS,184.0,12683.139141432746,0.02062668980519477,3.8880394295925216,0.19585528620242634,0.7834211448097054
254,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-12,3.175,28.0,22.0,,1800,38.0,,0.091,6045 plastic,6.0,4.5,6.0,Plastic,196.0,11885.431633620177,0.046462891068900475,8.758048634797206,0.35060982220609715,1.4024392888243886
255,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-12,3.175,28.0,22.0,,1800,38.0,,0.091,Gemfan Hurricane 51499,5.1,4.99,5.2,Poly Carbonate,192.8,12195.689099061583,0.03641425263664053,6.863924914153953,0.274119729992735,1.09647891997094
256,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-12,3.175,28.0,22.0,,1800,38.0,,0.091,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,180.72,13003.41525893902,0.010253566635596848,1.932751776929068,0.12953734393965796,0.5181493757586318
257,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-12,3.175,28.0,22.0,,1800,38.0,,0.091,DALPROP 6040,6.0,4.0,4.32,Nylon,189.28,12208.775203328385,0.035990419063201926,6.784034167714393,0.30541858724219667,1.2216743489687867
258,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-12,3.175,28.0,22.0,,1800,38.0,,0.091,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,192.92000000000002,12748.561173252978,0.018507810521896102,3.4886375259280706,0.2090821446959734,0.8363285787838936
259,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-12,3.175,28.0,22.0,,1800,38.0,,0.091,Gemfan 5050 3-Blades BN,5.0,5.0,5.0,Poly Carbonate,192.0,12254.784458803753,0.03450026838414557,6.503147382150474,0.2623854137783469,1.0495416551133876
260,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-12,3.175,28.0,22.0,,1800,38.0,,0.091,KingKong 6040,6.0,4.0,3.38,Plastic,185.52,12208.775203328385,0.035990419063201926,6.784034167714393,0.30541858724219667,1.2216743489687867
261,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-12,3.175,28.0,22.0,,1800,38.0,,0.091,Quanum Carbon Fiber Propeller 6045 Self-Locking,6.0,4.5,6.78,Carbon Fiber,199.12,11885.431633620177,0.046462891068900475,8.758048634797206,0.35060982220609715,1.4024392888243886
262,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-12,3.175,28.0,22.0,,1800,38.0,,0.091,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,186.8,12517.550015750707,0.025989811916349238,4.898962052803942,0.2268806063197221,0.9075224252788884
263,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-12,3.175,28.0,22.0,,1800,38.0,,0.091,Gemfan 3052 - Flash,3.0,5.2,1.6,Poly Carbonate,178.4,13090.185014927203,0.007443262285496293,1.4030218868914281,0.0745082687779598,0.2980330751118392
264,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-14,3.175,28.0,22.0,,1450,38.0,,0.112,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,180.88,10415.964516719825,0.01273491839466877,1.9337160300502965,0.1429963614559286,0.5719854458237144
265,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-14,3.175,28.0,22.0,,1450,38.0,,0.112,Gemfan 5040 R,5.0,4.0,3.0,ABS,184.0,10378.982305349691,0.014234635947761731,2.161439006467318,0.13435070980498415,0.5374028392199366
266,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-14,3.175,28.0,22.0,,1450,38.0,,0.112,6045 plastic,6.0,4.5,6.0,Plastic,196.0,9911.25411136986,0.033202171389074185,5.041538723091993,0.2491826187550598,0.9967304750202391
267,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-14,3.175,28.0,22.0,,1450,38.0,,0.112,Gemfan Hurricane 51499,5.1,4.99,5.2,Poly Carbonate,192.8,10096.837432119564,0.025676308593237492,3.8987842849779404,0.19219445409590138,0.7687778163836055
268,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-14,3.175,28.0,22.0,,1450,38.0,,0.112,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,180.72,10558.019616171909,0.006974230049536655,1.0589925112566938,0.08755925335482899,0.35023701341931596
269,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-14,3.175,28.0,22.0,,1450,38.0,,0.112,DALPROP 6040,6.0,4.0,4.32,Nylon,189.28,10104.56294793716,0.025363019813704635,3.8512133747712536,0.2140153306698244,0.8560613226792976
270,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-14,3.175,28.0,22.0,,1450,38.0,,0.112,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,192.92000000000002,10415.964516719825,0.01273491839466877,1.9337160300502965,0.1429963614559286,0.5719854458237144
271,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-14,3.175,28.0,22.0,,1450,38.0,,0.112,Gemfan 5050 3-Blades BN,5.0,5.0,5.0,Poly Carbonate,192.0,10131.659178575117,0.024264201766095107,3.6843646639463103,0.18348665817013957,0.7339466326805583
272,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-14,3.175,28.0,22.0,,1450,38.0,,0.112,KingKong 6040,6.0,4.0,3.38,Plastic,185.52,10104.56294793716,0.025363019813704635,3.8512133747712536,0.2140153306698244,0.8560613226792976
273,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-14,3.175,28.0,22.0,,1450,38.0,,0.112,Quanum Carbon Fiber Propeller 6045 Self-Locking,6.0,4.5,6.78,Carbon Fiber,199.12,9911.25411136986,0.033202171389074185,5.041538723091993,0.2491826187550598,0.9967304750202391
274,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-14,3.175,28.0,22.0,,1450,38.0,,0.112,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,186.8,10284.438081161783,0.01806866269839473,2.7436078746196397,0.1568052109607572,0.6272208438430288
275,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-14,3.175,28.0,22.0,,1450,38.0,,0.112,Gemfan 3052 - Flash,3.0,5.2,1.6,Poly Carbonate,178.4,10605.653256605014,0.005042603408885806,0.765681917456448,0.05015991066436384,0.20063964265745535
276,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-17,3.175,28.0,22.0,,1100,38.0,,0.192,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,180.88,7951.962316483491,0.007729113331403988,0.8903299408923946,0.086087808344629,0.344351233378516
277,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-17,3.175,28.0,22.0,,1100,38.0,,0.192,Gemfan 5040 R,5.0,4.0,3.0,ABS,184.0,7929.533312488622,0.0086510365892596,0.99652787647433,0.08099431472530864,0.3239772589012346
278,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-17,3.175,28.0,22.0,,1100,38.0,,0.192,6045 plastic,6.0,4.5,6.0,Plastic,196.0,7640.824574256689,0.02051813958601483,2.363520008254317,0.1527916381438533,0.6111665525754132
279,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D2822-17,3.175,28.0,22.0,,1100,38.0,,0.192,Gemfan Hurricane 51499,5.1,4.99,5.2,Poly Carbonate,192.8,7756.4828184985645,0.015764115494996157,1.815895745745435,0.11706909394858127,0.4682763757943251
