,Rotation speed (rpm),Torque (N⋅m),Thrust (kgf),Propeller diameter [in],Propeller pitch [in],Propeller num
9,16623.99999999977,0.032962154797298,0.3644977766323872,6.0,3.0,1
10,16178.000000000424,0.030898643890956,0.3419526511260216,6.0,3.0,1
11,15593.000000000431,0.028819549881012,0.3166556419683174,6.0,3.0,1
12,15056.000000000024,0.027063444767203,0.2949926582001091,6.0,3.0,1
13,14508.999999999583,0.025012825814509,0.2709715862153742,6.0,3.0,1
14,13783.000000000282,0.022773369631104,0.2418832840263698,6.0,3.0,1
15,13128.999999999874,0.020446610939191,0.214756384311197,6.0,3.0,1
16,12392.999999999583,0.018498446009392,0.1902263942422336,6.0,3.0,1
17,11425.99999999969,0.015787424267459,0.1583292513085508,6.0,3.0,1
18,10544.999999999884,0.013762175757394,0.132976433038948,6.0,3.0,1
19,9533.000000000033,0.011464793269028,0.1051779752306955,6.0,3.0,1
20,8128.999999999959,0.0090070713113597,0.0732211785522324,6.0,3.0,1
0,0.0,4.03641505335e-05,0.0006801788805151,6.0,3.0,1
1,17305.999999999694,0.03436849708251,0.4103640359680421,6.0,3.0,1
2,17025.99999999974,0.032953444202151,0.3948226785984613,6.0,3.0,1
3,16675.99999999956,0.031684860383165,0.3788663704221931,6.0,3.0,1
4,16422.00000000045,0.029961911467178,0.356091214465786,6.0,3.0,1
5,16052.000000000206,0.029205592169643,0.3438813644119959,6.0,3.0,1
6,15676.000000000133,0.027859087936569,0.3282893776331876,6.0,3.0,1
7,15295.999999999847,0.026320927179128,0.3093180940746126,6.0,3.0,1
8,14950.999999999683,0.02503059887276,0.2932017358259242,6.0,3.0,1
9,14454.00000000036,0.023397034873281,0.2734486366889508,6.0,3.0,1
10,14080.99999999972,0.021805404684707,0.2560551851833806,6.0,3.0,1
11,13555.999999999924,0.020155859886798,0.234496430133695,6.0,3.0,1
12,13070.000000000447,0.018972801518044,0.2195265481334298,6.0,3.0,1
13,12602.000000000457,0.017613592845614,0.2030708810638291,6.0,3.0,1
14,11948.000000000047,0.0157697127325,0.1806210839768422,6.0,3.0,1
15,11282.999999999798,0.013981143654732,0.1599258635647341,6.0,3.0,1
16,10646.000000000022,0.012248265921813,0.1400521079935146,6.0,3.0,1
17,9934.99999999981,0.010700719485263,0.1203435664569654,6.0,3.0,1
18,9095.000000000042,0.008980520699235,0.0989314479298119,6.0,3.0,1
19,8066.000000000041,0.0070828061463378,0.076489414334783,6.0,3.0,1
20,7061.000000000023,0.0054709927163585,0.0566477071509424,6.0,3.0,1
0,0.0,-4.27365171448e-05,-0.0008537978205145,6.0,3.0,1
1,18350.00000000041,0.03969058256616,0.4607648338008392,6.0,3.0,1
2,18099.999999999603,0.038683958815753,0.4462605203956091,6.0,3.0,1
3,17807.00000000018,0.037338820412434,0.4345696757169676,6.0,3.0,1
4,17524.999999999643,0.036017133229969,0.4165721449294408,6.0,3.0,1
5,17194.999999999527,0.035025955902913,0.4013274114096863,6.0,3.0,1
6,16829.000000000437,0.033352908681255,0.3803597903567885,6.0,3.0,1
7,16510.000000000164,0.031598635071948,0.3597969083631923,6.0,3.0,1
8,16068.000000000064,0.029867232736402,0.3403494118829366,6.0,3.0,1
9,15706.000000000227,0.028424678496798,0.3258216817499044,6.0,3.0,1
10,15308.000000000462,0.026508191001374,0.3040813563668531,6.0,3.0,1
11,14786.999999999916,0.024583455957598,0.2823932240123182,6.0,3.0,1
12,14287.0000000002,0.023347182128268,0.2621942788866228,6.0,3.0,1
13,13754.999999999807,0.02120028972341,0.2383209353645842,6.0,3.0,1
14,13184.999999999864,0.019544489082923,0.2185231132148083,6.0,3.0,1
15,12537.000000000242,0.017590632095544,0.1967308553380308,6.0,3.0,1
16,11759.000000000198,0.015464561174154,0.1693497568247668,6.0,3.0,1
17,10987.999999999794,0.013473256974071,0.145803122772486,6.0,3.0,1
18,10055.000000000202,0.011043497458141,0.1183260480094731,6.0,3.0,1
19,9096.999999999956,0.0092089131952604,0.0963264672434123,6.0,3.0,1
20,8026.000000000007,0.0074142660350873,0.0727282339260685,6.0,3.0,1
0,0.0,1.43995789362e-05,0.0001280458731073,6.0,3.0,1
1,19425.999999999894,0.043559484034426,0.5350767255702611,6.0,3.0,1
2,19162.999999999614,0.042253206884006,0.5187955968487609,6.0,3.0,1
3,18265.99999999995,0.038200287188586,0.4665222654563485,6.0,3.0,1
4,17392.999999999596,0.034675241434097,0.4178450551300699,6.0,3.0,1
5,16878.999999999643,0.032727103199604,0.3929166585093482,6.0,3.0,1
6,16527.99999999965,0.03139775320742,0.372076506431085,6.0,3.0,1
7,16124.999999999867,0.02994076218427,0.3544091959360026,6.0,3.0,1
8,15668.999999999533,0.028391759180439,0.3322433800135418,6.0,3.0,1
9,15254.000000000096,0.026981717365778,0.3114881861220193,6.0,3.0,1
10,14669.999999999918,0.025197510695079,0.2898785218463797,6.0,3.0,1
11,14216.999999999973,0.023321348340771,0.2662108600770396,6.0,3.0,1
12,13589.000000000417,0.021469972048149,0.2411356648934855,6.0,3.0,1
13,12945.999999999854,0.01968715085102,0.2170336288134684,6.0,3.0,1
14,12151.000000000136,0.01759502832415,0.1894364131984826,6.0,3.0,1
15,11348.99999999982,0.015277498015556,0.1626063777618351,6.0,3.0,1
